index,type,position,t_enter_SA1,t_enter_PW,t_enter_SA3,t_exit_system,t_SA1_basic,t_SA1_add,t_PW_basic,t_SA2_add,t_SA3_basic,t_SA3_add,total_time
257,PA2,PASSED,42.9,45.9,49.3,56.0,2.9130434782608696,0.0,3.344782817194601,0.0,6.628863947860216,0.0,12.886690243315687
258,PA2,PASSED,43.2,46.2,49.6,56.3,2.9130434782608696,0.0,3.344782817194601,0.0,6.628863947860216,0.0,12.886690243315687
259,PA1,PASSED,43.4,87.3,102.8,108.6,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.753183035875205,0.0,65.08237558245935
260,PA2,PASSED,43.4,46.4,49.8,56.5,2.9130434782608696,0.0,3.344782817194601,0.0,6.628863947860216,0.0,12.886690243315687
261,PA2,PASSED,43.7,46.7,50.1,56.7,2.9130434782608696,0.0,3.344782817194601,0.0,6.564391985626441,0.0,12.822218281081913
262,PA1,PASSED,43.9,87.8,103.3,109.1,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.753183035875205,0.0,65.08237558245935
263,PA2,PASSED,43.9,46.9,50.3,57.0,2.9130434782608696,0.0,3.344782817194601,0.0,6.628863947860216,0.0,12.886690243315687
264,PA2,PASSED,44.2,47.2,50.6,57.3,2.9130434782608696,0.0,3.344782817194601,0.0,6.628863947860216,0.0,12.886690243315687
265,PA1,PASSED,44.4,88.3,103.8,109.6,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.753183035875205,0.0,65.08237558245935
266,PA2,PASSED,44.4,47.4,50.8,57.5,2.9130434782608696,0.0,3.344782817194601,0.0,6.628863947860216,0.0,12.886690243315687
267,PA2,PASSED,44.7,47.7,51.1,57.8,2.9130434782608696,0.0,3.344782817194601,0.0,6.6979901126925405,0.0,12.95581640814801
268,PA1,PASSED,44.9,88.8,104.3,110.1,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.753183035875205,0.0,65.08237558245935
269,PA2,PASSED,44.9,47.9,51.3,58.0,2.9130434782608696,0.0,3.344782817194601,0.0,6.6979901126925405,0.0,12.95581640814801
270,PA2,PASSED,45.2,48.2,51.6,58.3,2.9130434782608696,0.0,3.344782817194601,0.0,6.6979901126925405,0.0,12.95581640814801
271,PA1,PASSED,45.4,97.4,112.9,118.7,3.329192546583851,48.60000000000042,15.499999999999998,0.0,5.767080745341614,0.0,73.19627329192588
272,PA2,PASSED,45.4,48.4,51.8,58.5,2.9130434782608696,0.0,3.344782817194601,0.0,6.6979901126925405,0.0,12.95581640814801
273,PA2,PASSED,45.7,48.7,52.1,58.9,2.9130434782608696,0.0,3.344782817194601,0.0,6.77204354519501,0.0,13.02986984065048
274,PA1,PASSED,45.9,97.9,113.4,119.2,3.329192546583851,48.60000000000042,15.499999999999998,0.0,5.767080745341614,0.0,73.19627329192588
275,PA2,PASSED,45.9,48.9,52.3,59.2,2.9130434782608696,0.0,3.344782817194601,0.0,6.851324559657186,0.0,13.109150855112656
276,PA2,PASSED,46.2,49.2,52.6,59.5,2.9130434782608696,0.0,3.344782817194601,0.0,6.851324559657186,0.0,13.109150855112656
277,PA1,PASSED,46.4,98.4,113.9,119.7,3.329192546583851,48.60000000000042,15.499999999999998,0.0,5.767080745341614,0.0,73.19627329192588
278,PA2,PASSED,46.4,49.4,52.8,59.7,2.9130434782608696,0.0,3.344782817194601,0.0,6.851324559657186,0.0,13.109150855112656
279,PA2,PASSED,46.7,49.7,53.1,60.1,2.9130434782608696,0.0,3.344782817194601,0.0,6.936162953448973,0.0,13.193989248904444
280,PA1,PASSED,46.9,98.9,114.4,120.2,3.329192546583851,48.60000000000042,15.499999999999998,0.0,5.767080745341614,0.0,73.19627329192588
281,PA2,PASSED,46.9,49.9,53.3,60.2,2.9130434782608696,0.0,3.344782817194601,0.0,6.851324559657186,0.0,13.109150855112656
282,PA2,PASSED,47.2,50.2,53.6,60.6,2.9130434782608696,0.0,3.344782817194601,0.0,6.936162953448973,0.0,13.193989248904444
283,PA1,PASSED,47.4,99.4,114.9,120.7,3.329192546583851,48.60000000000042,15.499999999999998,0.0,5.767080745341614,0.0,73.19627329192588
284,PA2,PASSED,47.4,50.4,53.8,60.9,2.9130434782608696,0.0,3.344782817194601,0.0,7.026920468731522,0.0,13.284746764186991
285,PA2,PASSED,47.7,50.7,54.1,61.2,2.9130434782608696,0.0,3.344782817194601,0.0,7.026920468731522,0.0,13.284746764186991
286,PA1,PASSED,47.9,99.9,115.4,121.2,3.329192546583851,48.60000000000042,15.499999999999998,0.0,5.767080745341614,0.0,73.19627329192588
287,PA2,PASSED,47.9,50.9,54.3,61.4,2.9130434782608696,0.0,3.344782817194601,0.0,7.026920468731522,0.0,13.284746764186991
288,PA2,PASSED,48.2,51.2,54.6,61.8,2.9130434782608696,0.0,3.344782817194601,0.0,7.123993489831101,0.0,13.38181978528657
289,PA1,PASSED,48.4,100.4,115.9,121.7,3.329192546583851,48.60000000000042,15.499999999999998,0.0,5.767080745341614,0.0,73.19627329192588
290,PA2,PASSED,48.4,51.4,54.8,62.0,2.9130434782608696,0.0,3.344782817194601,0.0,7.123993489831101,0.0,13.38181978528657
291,PA2,PASSED,48.7,51.7,55.1,62.3,2.9130434782608696,0.0,3.344782817194601,0.0,7.123993489831101,0.0,13.38181978528657
