T,D_SA1,D_PW1,D_PW2,D_SA3,D_pass,K_PW2,K_SA3,queue_PW1
24.4,74,15,6,27,25,0.5882352941176471,1.238532110091743,54
24.5,74,15,6,27,25,0.5882352941176471,1.238532110091743,54
24.6,74,15,6,27,25,0.5882352941176471,1.238532110091743,55
24.7,75,15,6,27,25,0.5882352941176471,1.238532110091743,55
24.8,75,15,5,28,25,0.4901960784313726,1.2844036697247705,56
24.9,76,15,6,26,27,0.5882352941176471,1.1926605504587156,56
25.0,76,15,6,26,27,0.5882352941176471,1.1926605504587156,56
25.1,76,15,6,25,28,0.5882352941176471,1.146788990825688,57
25.2,77,15,6,25,28,0.5882352941176471,1.146788990825688,57
25.3,77,15,5,26,28,0.4901960784313726,1.1926605504587156,58
25.4,78,15,6,24,30,0.5882352941176471,1.1009174311926606,58
25.5,78,15,6,24,30,0.5882352941176471,1.1009174311926606,58
25.6,78,15,6,23,31,0.5882352941176471,1.055045871559633,59
25.7,79,15,6,23,31,0.5882352941176471,1.055045871559633,59
25.8,79,15,5,24,31,0.4901960784313726,1.1009174311926606,60
25.9,80,15,6,23,32,0.5882352941176471,1.055045871559633,60
26.0,80,15,6,22,33,0.5882352941176471,1.0091743119266054,60
26.1,80,15,6,22,33,0.5882352941176471,1.0091743119266054,61
26.2,81,15,6,21,34,0.5882352941176471,0.963302752293578,61
26.3,81,15,5,22,34,0.4901960784313726,1.0091743119266054,62
26.4,82,15,6,21,35,0.5882352941176471,0.963302752293578,62
26.5,82,15,6,20,36,0.5882352941176471,0.9174311926605504,62
26.6,82,15,6,20,36,0.5882352941176471,0.9174311926605504,63
26.7,83,15,6,19,37,0.5882352941176471,0.8715596330275229,63
26.8,83,15,5,20,37,0.4901960784313726,0.9174311926605504,64
26.9,84,15,6,20,37,0.5882352941176471,0.9174311926605504,64
27.0,84,15,6,18,39,0.5882352941176471,0.8256880733944953,64
27.1,84,15,6,18,39,0.5882352941176471,0.8256880733944953,65
27.2,85,15,6,18,39,0.5882352941176471,0.8256880733944953,65
27.3,85,15,5,18,40,0.4901960784313726,0.8256880733944953,66
27.4,86,15,6,18,40,0.5882352941176471,0.8256880733944953,66
27.5,86,15,6,17,41,0.5882352941176471,0.7798165137614679,66
27.6,86,15,6,16,42,0.5882352941176471,0.7339449541284403,67
27.7,87,15,6,16,42,0.5882352941176471,0.7339449541284403,67
27.8,87,15,5,16,43,0.4901960784313726,0.7339449541284403,68
27.9,88,15,6,16,43,0.5882352941176471,0.7339449541284403,68
28.0,88,15,6,16,43,0.5882352941176471,0.7339449541284403,68
28.1,88,15,6,15,44,0.5882352941176471,0.6880733944954128,69
28.2,89,15,6,14,45,0.5882352941176471,0.6422018348623852,69
28.3,89,15,5,15,45,0.4901960784313726,0.6880733944954128,70
28.4,90,15,6,14,46,0.5882352941176471,0.6422018348623852,70
28.5,90,15,6,14,46,0.5882352941176471,0.6422018348623852,70
28.6,90,15,6,14,46,0.5882352941176471,0.6422018348623852,71
28.7,91,15,6,12,48,0.5882352941176471,0.5504587155963303,71
28.8,91,15,5,13,48,0.4901960784313726,0.5963302752293578,72
28.9,92,15,6,13,48,0.5882352941176471,0.5963302752293578,72
29.0,92,15,6,13,48,0.5882352941176471,0.5963302752293578,72
29.1,92,15,6,13,48,0.5882352941176471,0.5963302752293578,73
29.2,93,15,6,13,48,0.5882352941176471,0.5963302752293578,73
29.3,93,15,5,13,49,0.4901960784313726,0.5963302752293578,74
29.4,94,15,6,13,49,0.5882352941176471,0.5963302752293578,74
29.5,94,15,6,13,49,0.5882352941176471,0.5963302752293578,74
29.6,94,15,6,13,49,0.5882352941176471,0.5963302752293578,75
29.7,95,15,6,13,49,0.5882352941176471,0.5963302752293578,75
29.8,95,15,5,13,50,0.4901960784313726,0.5963302752293578,76
29.9,96,15,6,13,50,0.5882352941176471,0.5963302752293578,76
30.0,96,15,6,13,50,0.5882352941176471,0.5963302752293578,76
30.1,96,15,6,13,50,0.5882352941176471,0.5963302752293578,77
30.2,97,15,6,13,50,0.5882352941176471,0.5963302752293578,77
30.3,97,15,5,13,51,0.4901960784313726,0.5963302752293578,78
30.4,98,15,6,13,51,0.5882352941176471,0.5963302752293578,78
30.5,98,15,6,13,51,0.5882352941176471,0.5963302752293578,78
30.6,98,15,6,13,51,0.5882352941176471,0.5963302752293578,79
30.7,99,15,6,13,51,0.5882352941176471,0.5963302752293578,79
30.8,99,15,5,13,52,0.4901960784313726,0.5963302752293578,80
30.9,100,15,6,13,52,0.5882352941176471,0.5963302752293578,80
31.0,100,15,6,13,52,0.5882352941176471,0.5963302752293578,80
31.1,100,15,6,13,52,0.5882352941176471,0.5963302752293578,81
31.2,101,15,6,13,52,0.5882352941176471,0.5963302752293578,81
31.3,101,15,5,13,53,0.4901960784313726,0.5963302752293578,82
31.4,102,15,6,13,53,0.5882352941176471,0.5963302752293578,82
31.5,102,15,6,13,53,0.5882352941176471,0.5963302752293578,82
31.6,102,15,6,13,53,0.5882352941176471,0.5963302752293578,83
31.7,103,15,6,12,54,0.5882352941176471,0.5504587155963303,83
31.8,103,15,5,13,54,0.4901960784313726,0.5963302752293578,84
31.9,104,15,6,13,54,0.5882352941176471,0.5963302752293578,84
32.0,104,15,6,13,54,0.5882352941176471,0.5963302752293578,84
32.1,104,15,6,12,55,0.5882352941176471,0.5504587155963303,85
32.2,105,15,6,12,55,0.5882352941176471,0.5504587155963303,85
32.3,105,15,5,13,55,0.4901960784313726,0.5963302752293578,86
32.4,106,15,6,13,55,0.5882352941176471,0.5963302752293578,86
32.5,106,15,6,12,56,0.5882352941176471,0.5504587155963303,86
32.6,106,15,6,12,56,0.5882352941176471,0.5504587155963303,87
32.7,107,15,6,12,56,0.5882352941176471,0.5504587155963303,87
32.8,107,15,5,13,56,0.4901960784313726,0.5963302752293578,88
32.9,108,15,6,13,56,0.5882352941176471,0.5963302752293578,88
33.0,108,15,6,12,57,0.5882352941176471,0.5504587155963303,88
33.1,108,15,6,12,57,0.5882352941176471,0.5504587155963303,89
33.2,109,15,6,12,57,0.5882352941176471,0.5504587155963303,89
33.3,109,15,5,13,57,0.4901960784313726,0.5963302752293578,90
33.4,110,15,6,13,57,0.5882352941176471,0.5963302752293578,90
33.5,110,15,6,12,58,0.5882352941176471,0.5504587155963303,90
33.6,110,15,6,12,58,0.5882352941176471,0.5504587155963303,91
33.7,111,15,6,12,58,0.5882352941176471,0.5504587155963303,91
33.8,111,15,5,13,58,0.4901960784313726,0.5963302752293578,92
33.9,112,15,6,12,59,0.5882352941176471,0.5504587155963303,92
34.0,112,15,6,12,59,0.5882352941176471,0.5504587155963303,92
34.1,112,15,6,12,59,0.5882352941176471,0.5504587155963303,93
34.2,113,15,6,12,59,0.5882352941176471,0.5504587155963303,93
34.3,113,15,5,13,59,0.4901960784313726,0.5963302752293578,94
34.4,114,15,6,12,60,0.5882352941176471,0.5504587155963303,94
34.5,114,15,6,12,60,0.5882352941176471,0.5504587155963303,94
34.6,114,15,6,12,60,0.5882352941176471,0.5504587155963303,95
34.7,115,14,6,13,60,0.5882352941176471,0.5963302752293578,95
34.8,114,15,5,14,60,0.4901960784313726,0.6422018348623852,95
34.9,115,14,6,14,61,0.5882352941176471,0.6422018348623852,95
35.0,114,15,6,14,61,0.5882352941176471,0.6422018348623852,94
35.1,114,15,6,14,61,0.5882352941176471,0.6422018348623852,95
35.2,115,14,6,15,61,0.5882352941176471,0.6880733944954128,95
35.3,114,15,5,16,61,0.4901960784313726,0.7339449541284403,95
35.4,115,14,6,16,62,0.5882352941176471,0.7339449541284403,95
35.5,114,15,6,16,62,0.5882352941176471,0.7339449541284403,94
35.6,114,15,6,16,62,0.5882352941176471,0.7339449541284403,95
35.7,115,14,6,17,62,0.5882352941176471,0.7798165137614679,95
35.8,114,15,5,18,62,0.4901960784313726,0.8256880733944953,95
35.9,115,14,6,18,63,0.5882352941176471,0.8256880733944953,95
36.0,114,15,6,18,63,0.5882352941176471,0.8256880733944953,94
